order_id,customer_id,order_date,ship_date,status,quantity,unit_price,total_amount
1001,CUST001,2024-10-01,2024-10-03,Shipped,3,120.50,361.50
1002,CUST002,2024-10-02,2024-10-05,Shipped,2,75.00,150.00
1003,CUST003,2024-10-04,2024-10-06,Processing,1,200.00,200.00
1004,CUST004,2024-10-05,2024-10-07,Shipped,5,50.00,250.00
1005,CUST005,2024-10-06,2024-10-08,Delivered,4,95.00,380.00
1006,CUST006,2024-10-07,2024-10-09,Delivered,6,80.00,480.00
1007,CUST007,2024-10-08,2024-10-10,Processing,3,110.00,330.00
1008,CUST008,2024-10-09,2024-10-11,Shipped,2,150.00,300.00
1009,CUST009,2024-10-10,2024-10-12,Delivered,1,500.00,500.00
1010,CUST010,2024-10-11,2024-10-13,Shipped,2,75.00,150.00
